Episode    Status   Avg steps to goal    Total Goals     Counter        
335        1        306.4                197             187253         
336        2        306.9                197             187802         
337        1        306.6                198             188610         
338        1        306.2                199             189295         
339        1        305.8                200             190029         
340        1        305.3                201             190615         
341        1        304.8                202             191141         
342        1        304.4                203             191738         
343        1        303.8                204             192094         
344        3        304.3                204             192616         
345        3        304.9                204             193031         
346        1        304.4                205             193561         
347        1        304.0                206             194161         
348        1        303.6                207             194730         
349        3        304.1                207             194954         
350        2        304.7                207             195701         
351        1        304.3                208             196372         
352        3        304.8                208             197834         
353        3        305.4                208             198347         
354        1        305.2                209             199326         
355        3        305.7                209             199615         
356        1        305.3                210             200290         
357        3        305.8                210             200570         
358        1        305.4                211             201170         
359        1        305.0                212             201873         
360        1        304.8                213             202908         
361        1        304.6                214             203728         
362        1        304.3                215             204414         
363        3        304.9                215             204711         
364        1        304.4                216             205351         
365        1        304.1                217             206198         
366        1        303.6                218             206716         
367        1        303.3                219             207493         
368        1        303.1                220             208399         
369        1        302.6                221             208820         
370        1        302.4                222             209685         
371        1        301.9                223             210242         
372        3        302.5                223             210567         
373        1        302.0                224             211226         
374        1        301.9                225             212422         
375        3        302.4                225             212782         
376        3        302.9                225             213209         
377        3        303.5                225             213577         
378        2        304.0                225             214290         
379        3        304.5                225             214496         
380        1        304.3                226             215334         
381        1        304.0                227             216018         
382        1        303.7                228             216776         
383        3        304.2                228             216966         
384        2        304.7                228             217965         
385        1        304.3                229             218581         
386        2        304.8                229             219326         
387        1        304.4                230             219938         
388        2        304.9                230             220623         
389        2        305.4                230             221216         
390        1        305.0                231             221738         
391        1        304.8                232             222731         
392        3        305.3                232             223762         
393        1        304.8                233             224297         
394        3        305.3                233             224598         
395        1        305.2                234             225607         
396        1        304.7                235             225956         
397        1        304.3                236             226569         
398        3        304.8                236             226672         
399        1        304.7                237             227738         
400        1        304.9                238             229201         
401        1        304.5                239             229710         
402        1        304.1                240             230396         
403        3        304.6                240             230634         
404        3        305.1                240             230965         
405        1        305.0                241             231914         
406        1        304.5                242             232303         
407        3        305.0                242             232560         
408        3        305.5                242             232784         
409        1        305.1                243             233384         
410        1        304.7                244             233987         
411        1        304.3                245             234443         
412        1        304.0                246             235112         
413        1        303.7                247             235924         
414        3        304.2                247             236988         
415        3        304.7                247             237334         
416        1        304.2                248             237718         
417        3        304.7                248             238280         
418        1        304.2                249             238730         
419        1        303.8                250             239358         
420        3        304.3                250             239551         
421        1        303.9                251             240037         
422        3        304.3                251             240389         
423        3        304.8                251             241165         
424        3        305.3                251             241518         
425        1        304.9                252             242330         
426        1        304.7                253             243135         
427        1        304.3                254             243695         
428        3        304.8                254             243826         
429        2        305.2                254             244434         
430        3        305.7                254             245296         
431        3        306.1                254             245518         
432        1        305.8                255             246336         
433        1        305.4                256             246946         
434        1        305.1                257             247527         
435        3        305.5                257             247884         
436        3        306.0                257             248163         
437        1        305.6                258             248690         
438        3        306.1                258             248814         
439        3        306.5                258             249210         
440        3        307.0                258             249513         
441        1        306.8                259             250569         
442        2        307.2                259             250990         
443        1        307.1                260             251904         
444        1        306.7                261             252461         
445        1        306.3                262             252963         
446        1        306.1                263             253843         
447        3        306.5                263             254177         
448        1        306.1                264             254647         
449        1        305.6                265             254984         
450        3        306.0                265             255194         
451        3        306.5                265             255407         
452        1        306.1                266             255970         
453        3        306.6                266             256717         
454        1        306.3                267             257534         
455        1        306.1                268             258458         
456        3        306.5                268             259291         
457        1        306.3                269             260450         
458        3        306.8                269             260934         
459        3        307.2                269             261142         
460        1        306.9                270             261922         
461        1        306.7                271             262705         
462        1        306.3                272             263120         
463        3        306.7                272             263241         
464        3        307.1                272             264860         
465        1        306.7                273             265359         
466        2        307.1                273             266137         
467        1        306.7                274             266519         
468        3        307.1                274             267128         
469        1        306.8                275             267744         
470        1        306.4                276             268315         
471        1        306.1                277             268929         
472        1        305.9                278             269712         
473        1        305.6                279             270328         
474        3        306.0                279             270663         
475        2        306.4                279             271065         
476        1        306.1                280             271497         
477        3        306.5                280             271541         
478        3        306.9                280             271835         
479        1        306.7                281             272589         
480        1        306.2                282             273008         
481        3        306.6                282             273207         
482        1        306.3                283             273726         
483        3        306.7                283             273952         
484        3        307.1                283             274134         
485        3        307.5                283             274363         
486        1        307.0                284             274634         
487        3        307.4                284             274898         
488        3        307.8                284             275181         
489        1        307.5                285             275857         
490        1        307.2                286             276408         
491        1        306.8                287             276972         
